Engine_ID,RUL,Health_State,Flight_cycle_number,Cycle_Percentage,Cycle_Log,Cycle_Squared,Engine_Max_Cycle,HPC_outlet_temperature_R_cummax,LPC_outlet_temperature_R_cummax,Fan_stall_margin_cumsum,HPT_outlet_temperature_R_cumsum,LPC_stall_margin,LPC_outlet_temperature_R_cumsum,HPC_outlet_temperature_R_cumsum,HPT_outlet_temperature_R_rolling_max_10,Fan_stall_margin_rolling_max_5,HPT_outlet_temperature_R_rolling_max_5,Temp_Ratio_HPC_LPC,Fan_stall_margin_rolling_max_10,HPC_outlet_temperature_R_rolling_max_10,LPC_outlet_temperature_R_rolling_max_10,Press_Ratio_Fan,Fan_stall_margin_trend_2nd
206,149,2,72,-0.31930070519722914,-0.41153219813623454,-0.289044289044289,-0.08080808080808081,-0.057142857142856655,-0.07091172214182509,-0.7996390332258204,-0.7910882881110793,0.31707140792136,-0.604930963060979,-0.6047067688557388,-0.17582417582412502,-0.42105263157844347,0.11206896551722956,0.1364820411406895,-0.8666666666694962,-0.007117437722413594,-0.015576323987560014,-0.7336411135377205,0.0
177,152,2,90,0.08293131360045386,-0.21195645701458835,-0.18115218115218115,-0.7070707070707071,-1.6112781954887236,-1.6302460202604812,-0.8008203555436906,-0.7935491543736701,-0.8649176062445876,-0.6265754567695205,-0.6264133878444191,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,-0.6735484121663156,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.1420396428275242,0.0
48,288,2,34,-0.7059825723974447,-1.077187165874696,-0.43808043808043806,0.5555555555555556,-0.1413533834586553,-0.1345875542691685,-0.7642929319470403,-0.753708650314601,-2.1811939867013583,-0.5878120733793661,-0.5876774693217939,-0.47252747252737504,-0.26315789473533047,-0.12068965517239352,-1.636993379931634,-0.6666666666676773,-0.2064056939501965,-0.15264797507788272,1.7857932712243938,0.0
64,8,0,176,0.45125405204985575,0.3904743530867526,0.6652606652606653,0.16161616161616163,-1.6112781954887236,-1.6302460202604812,-0.8008170335937262,-0.7935212533956363,-0.662257877999435,-0.6267087660742631,-0.626508757790729,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,-0.19559594485622503,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.20330080446742002,0.0
31,100,1,134,0.07188500072853515,0.14519280277283564,0.1835201835201835,0.29292929292929293,-0.09022556390977816,-0.20260492040520747,-0.7996388486730446,-0.7911287445292285,0.16962995085284444,-0.6050208234071389,-0.6047298253262752,-0.8131868131866251,-0.36842105262994135,-0.38793103448267247,0.6476366370134347,-0.8000000000012126,-0.08540925266904405,-0.29906542056075563,-0.7560887955104634,0.0
7,112,2,147,-0.16089866248494009,0.2284436572397659,0.31868131868131866,1.5555555555555556,-0.17293233082706483,-0.12735166425470326,-0.7996373722508382,-0.791094565831137,0.44658860942468637,-0.6049694746379047,-0.6047874665026164,-0.27472527472525,0.05263157894850214,0.03448275862065586,-0.18607105995878565,-0.2666666666670709,-0.2811387900355797,-0.13707165109035813,-0.732645896110358,0.0
10,54,1,300,0.9184857487840465,0.8712675032068586,2.1393606393606395,0.9494949494949495,-1.6112781954887236,-1.6302460202604812,-0.7597964881175462,-0.754895139405493,-0.5688782885227064,-0.6073167058777059,-0.6071329383690062,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,-0.1353748086619477,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.015978768694883006,0.0
151,139,2,212,0.4218595116603847,0.5581237512134257,1.182077182077182,0.8181818181818182,0.06616541353382592,0.024602026049214694,-0.7996390332258204,-0.7911426950182455,0.34829430471233824,-0.6048657896231049,-0.6046208311019211,-1.0329670329668752,-0.42105263157844347,-0.5603448275861478,0.29497699973265423,-0.8666666666694962,0.2846975088967865,0.19003115264797718,-0.8027534348823699,0.0
47,126,2,88,-0.392038934848829,-0.23207985845932746,-0.19432419432419432,0.9191919191919192,0.034586466165416385,-0.07235890014471813,-0.7996381104619413,-0.7910973559289405,0.4499132697311402,-0.6049319505373105,-0.6046428395510695,-0.31868131868125005,-0.1578947368407196,0.0,0.6324510405941434,-0.5333333333341418,0.2099644128114033,-0.018691588785064935,-0.7237995189782439,0.0
1,150,2,109,-0.18183499804834707,-0.04025177326697454,-0.04125504125504126,0.5454545454545454,-0.03308270676692151,-0.03473227206946602,-0.7996384795674929,-0.7911161890891132,0.5062879444926272,-0.6049062761526934,-0.6046900005135304,-0.6153846153845001,-0.26315789473533047,-0.23275862068962308,0.07602908627444352,-0.6666666666676773,0.049822064056935615,0.06230529595013381,-0.6921737207309314,0.0
42,21,1,259,1.2906872699112832,0.7386740620483556,2.001147001147001,-0.0707070707070707,-1.6112781954887236,-1.6302460202604812,-0.8026754800459922,-0.7971658186513156,-0.16283607979185355,-0.6400199470218948,-0.6397966209694407,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,0.0498870917335662,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.03256572581759947,0.0
234,139,2,68,-0.1716679450759312,-0.46256067245982985,-0.30976430976430974,-0.696969696969697,-1.6112781954887236,-1.6302460202604812,-0.8028925141103282,-0.7975954937130378,-0.6417317143683265,-0.6459872664927062,-0.6458258880147225,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,-1.8982445272672477,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.3009426920631409,0.0
48,14,0,217,0.5671553409910473,0.5791343410837216,1.2614422614422613,0.5555555555555556,-0.1413533834586553,-0.1345875542691685,-0.7202202526647458,-0.708837599916018,1.7394478172882366,-0.5332154944911164,-0.5330713629203744,0.395604395604375,-0.10526315789461087,0.5603448275861478,0.24759677472394098,-0.4666666666688899,-0.2064056939501965,-0.15264797507788272,-0.6392060376523918,0.0
51,22,1,263,1.0827677994884821,0.7524989992617918,2.0784030784030785,0.24242424242424243,-1.6112781954887236,-1.6302460202604812,-0.8026764028098711,-0.797167911224668,-0.196660884648751,-0.640177943234923,-0.6398710304879902,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,1.8424247430593774,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.04207558123462266,0.0
96,276,2,215,0.05985802259282193,0.5707885142793937,1.2294742294742296,2.0454545454545454,0.1007518796992423,0.09406657018814674,-0.7996392177785961,-0.7911252569069743,0.351908065914998,-0.6048183907591964,-0.6045967266099966,-0.7582417582416251,-0.47368421052455223,-0.3448275862068526,0.1172704988378107,-0.9333333333347481,0.36654804270462377,0.339563862928355,-0.802864014596523,0.0
177,20,0,161,0.8918999258463867,0.3102878528073034,0.47822547822547823,-0.7070707070707071,-0.329323308270686,-0.3241678726483386,-0.7567460152864139,-0.7486453203258974,0.7051893610870236,-0.5720124520765393,-0.5718722587690569,0.912087912087875,0.36842105263233477,0.9655172413792461,0.006963583193714737,0.13333333333353545,-0.6512455516014507,-0.5607476635514168,-0.7030105327177727,0.0
18,16,0,193,0.030411239006418476,0.47351778210363504,0.8973618973618973,1.7878787878787878,-1.6112781954887236,-1.6302460202604812,-0.80836450391268,-0.7984520537386787,-2.1811939867013583,-0.6423099046344732,-0.6422133582902159,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,-2.089252807583218,-2.033333333334142,-1.774021352313166,-1.7897196261682409,1.7857932712243938,0.0
77,56,1,98,-0.04188607733437916,-0.13565738470459618,-0.1255041255041255,-0.23232323232323232,-0.27518796992481914,-0.3241678726483386,-0.7996371876980624,-0.7910575970352421,0.2375686614628453,-0.6051037714189788,-0.6048587319570018,0.307692307692375,0.10526315789461087,0.49137931034483606,0.29612228387656014,-0.200000000001819,-0.5231316725978846,-0.5607476635514168,-0.694385315013961,0.0
236,17,0,208,1.0174253936406539,0.5409570608162315,1.1199171199171198,-0.29292929292929293,-1.6112781954887236,-1.6302460202604812,-0.8008135270909862,-0.7935205558711854,-0.33759757155248166,-0.6260856685091329,-0.6258705127654245,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,-9.832562211095244e-05,-2.033333333334142,-1.774021352313166,-1.7897196261682409,-0.005694855278799582,0.0
63,159,2,15,-0.7806951085359474,-1.78598811377583,-0.4725274725274725,-0.5959595959595959,-0.1218045112782048,-0.024602026049198242,-0.7996379259091655,-0.7911043311734488,0.23872506504769536,-0.6048993638183734,-0.6047518337754236,-0.42857142857137503,-0.10526315789461087,-0.08620689655173766,-0.44886812091286205,-0.4666666666688899,-0.1601423487544677,0.08411214953270366,-0.7187128521272778,0.0
111,45,1,155,0.2268950845273567,0.2761133895885257,0.4080734080734081,0.30303030303030304,-1.6112781954887236,-1.6302460202604812,-0.8026907979263832,-0.7971393127221833,-0.8871783752529712,-0.6405176350929338,-0.6403363519842712,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,-0.871488017414491,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.2751776186658548,0.0
7,195,2,229,0.27510883369268,0.6276557224942985,1.4594664594664595,1.5555555555555556,-0.01954887218045051,-0.12735166425470326,-0.7555665384963016,-0.7463351193446898,0.26922520959815216,-0.5503146346461009,-0.5500304450213219,-0.27472527472525,0.05263157894850214,0.03448275862065586,0.9564391513645214,-0.2666666666670709,0.08185053380783724,-0.13707165109035813,-0.8108257540154258,0.0
257,205,2,104,-0.19089160059519308,-0.08237638235818899,-0.08066008066008067,0.43434343434343436,-1.6112781954887236,-1.6302460202604812,-0.802889930371467,-0.7976080491531531,-0.47578779994218356,-0.6459872664927062,-0.6457640547528293,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,-0.008019432888447864,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.3026013877754125,0.0
161,220,2,83,-0.24569344511768643,-0.2844363933459294,-0.22595922595922596,0.0,-1.6112781954887236,-1.6302460202604812,-0.8028897458186913,-0.7976254872644243,-0.47622145128651217,-0.6459536922974377,-0.6457294700470246,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,0.02324311878951754,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.2621292123959859,0.0
220,12,0,222,1.2511614446588333,0.5996684590371555,1.3426573426573427,-0.40404040404040403,-1.6112781954887236,-1.6302460202604812,-0.8083635811488011,-0.7984513562142279,-2.1811939867013583,-0.6423326165900961,-0.6422196464185441,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,-2.089252807583218,-2.033333333334142,-1.774021352313166,-1.7897196261682409,1.7857932712243938,0.0
242,120,2,102,0.060946561341117804,-0.09979068440533334,-0.0959040959040959,-0.3939393939393939,-1.6112781954887236,-1.6302460202604812,-0.802887346632606,-0.7975864258951767,-0.44629950852848044,-0.6458796315725807,-0.6456791650203997,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,-0.6964791929958137,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.3071351560556208,0.0
45,155,2,50,-0.39783670398301024,-0.7362807774429369,-0.38835238835238833,-0.6161616161616161,-0.237593984962413,-0.30680173661360555,-0.7996395868841477,-0.7911301395781303,0.25404741254697855,-0.6050919217030016,-0.6048325314223012,-0.83516483516475,-0.5789473684215565,-0.4051724137930984,0.4060587530905975,-1.0666666666713152,-0.4341637010676338,-0.5233644859813223,-0.7575263317944327,0.0
93,162,2,27,-0.6018628375153442,-1.2792471768624365,-0.4538794538794539,-0.898989898989899,-1.6112781954887236,-1.6302460202604812,-0.8008198018853632,-0.7935345063602023,-0.802760913558837,-0.6266258180624232,-0.6263704189675102,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,0.5063802392743728,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.12932297570010695,0.0
30,50,1,116,-0.05838445513010041,0.015612728116436268,0.01702001702001702,0.2727272727272727,-1.6112781954887236,-1.6302460202604812,-0.8083598900932851,-0.7984771646189093,-2.1811939867013583,-0.6422417687676047,-0.6421777255630233,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,-2.089252807583218,-2.033333333334142,-1.774021352313166,-1.7897196261682409,1.7857932712243938,0.0
34,81,1,378,0.8965915416589149,1.0799218325004554,2.1393606393606395,1.9494949494949494,0.6601503759398498,0.696092619392197,-0.799636634039735,-0.7910896831599811,0.5873807458803206,-0.604407600605323,-0.604206862653653,-0.19780219780212505,0.2631578947377239,0.09482758620690163,-0.04066400797278894,0.0,1.690391459074766,1.6355140186915702,-0.8752937273657156,0.0
81,267,2,21,-0.8053949806473658,-1.4976232292433118,-0.4645354645354645,0.7676767676767676,-0.016541353383460754,-0.0434153400868243,-0.7996395868841477,-0.7911329296759337,0.3813963573287143,-0.604912201010682,-0.6046784722782622,-0.8791208791207501,-0.5789473684215565,-0.43965517241375424,0.20931342805332845,-1.0666666666713152,0.08896797153025084,0.04361370716510429,-0.772122854062422,0.0
88,259,2,63,-0.5751793634158565,-0.5306766687872334,-0.333999333999334,1.1818181818181819,-0.15338345864661432,-0.08538350217075555,-0.7996397714369234,-0.7911664108495744,0.2800664932061314,-0.6049408378242934,-0.6047738422245721,-1.4065934065932502,-0.6315789473676653,-0.8534482758620165,-0.3005979834916408,-1.1333333333365672,-0.23487544483985087,-0.04672897196260921,-0.7930224200370444,0.0
161,185,2,39,-0.6150964585672749,-0.956272380293791,-0.4245754245754246,0.0,-1.6112781954887236,-1.6302460202604812,-0.7618682775786323,-0.7588403376994877,-0.827334489736934,-0.6267818393227886,-0.6265066617479529,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,1.2860649189265252,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.26953805324413277,0.0
36,70,1,73,-0.4216775557220104,-0.3992120652545318,-0.2836792836792837,0.47474747474747475,-0.2812030075187986,-0.2127351664254588,-0.7555608173602519,-0.7461377199250998,0.054134142815841634,-0.5505516289656432,-0.5504077327210093,0.989010989011,0.7894736842107782,1.0258620689654918,-0.3180682090244288,0.6666666666676773,-0.5373665480427118,-0.32087227414329006,-0.6847648798827846,-0.0332724198330307
182,93,1,112,0.3467535152999405,-0.015886649557904215,-0.016724016724016723,-0.7272727272727273,-0.16390977443609558,-0.18089725036179533,-0.7996388486730446,-0.7911029361245472,0.22383636889274083,-0.6050060112621675,-0.6047811783742881,-0.406593406593375,-0.36842105262994135,-0.06896551724140973,0.14131587716262595,-0.8000000000012126,-0.25978647686833894,-0.2523364485981464,-0.7338622729660249,0.0
176,121,2,59,-0.19811881459766376,-0.5891173192715824,-0.35205535205535204,-0.898989898989899,-1.6112781954887236,-1.6302460202604812,-0.8028869775270544,-0.7976073516287022,-0.5314397224631491,-0.6458351951376665,-0.6457127017048163,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,-2.089252807583218,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.2742929809526434,0.0
235,75,1,108,0.33359764415553156,-0.04852138141057683,-0.04928404928404929,-0.7777777777777778,-1.6112781954887236,-1.6302460202604812,-0.8008196173325873,-0.7935093954799719,-0.82054061867593,-0.6265843440565033,-0.6264270121224634,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,-0.7336542301099724,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.17322312221823,0.0
1,121,2,138,0.02054957906458793,0.17163309864158502,0.22377622377622378,0.5454545454545454,-0.03308270676692151,-0.03473227206946602,-0.7555665384963016,-0.7463197738067711,0.45034692107545565,-0.5502129245839639,-0.5500021484438454,-0.6153846153845001,-0.26315789473533047,-0.23275862068962308,0.13257295379855494,-0.6666666666676773,0.049822064056935615,0.06230529595013381,-0.7308766206839352,0.0
145,156,2,72,-0.25830459248206794,-0.41153219813623454,-0.289044289044289,-0.31313131313131315,-1.6112781954887236,-1.6302460202604812,-0.8026813857348176,-0.7972334785230478,-0.543581960104088,-0.6404485117497339,-0.640274518722378,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,-1.0263535140866868,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.22807066043734353,0.0
116,247,2,97,-0.31280881820082385,-0.1448505174547442,-0.13271913271913272,0.7878787878787878,-1.6112781954887236,-1.6302460202604812,-0.8009185376204141,-0.7937821275402533,0.1446227233304452,-0.6208352568549372,-0.6205182675368038,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,1.1201767030779355,-2.033333333334142,-1.774021352313166,-1.7897196261682409,-0.5606944406048705,0.0
86,192,2,40,-0.6534332967533125,-0.9339128294936834,-0.42165242165242167,0.43434343434343436,-1.6112781954887236,-1.6302460202604812,-0.8083619201738189,-0.7984569364098347,-2.1811939867013583,-0.642293117536839,-0.6421756295202472,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,-2.089252807583218,-2.033333333334142,-1.774021352313166,-1.7897196261682409,1.7857932712243938,0.0
77,100,1,54,-0.44625316201582155,-0.6679074957612731,-0.372960372960373,-0.23232323232323232,-0.2090225563909761,-0.2778581765557117,-0.7555641393102163,-0.7462116575168898,0.19449262792714725,-0.5505091674833918,-0.550233761170598,0.307692307692375,0.10526315789461087,0.49137931034483606,0.40722264211879144,-0.200000000001819,-0.36654804270462377,-0.4610591900311531,-0.7184916926989734,0.0
8,1,0,229,1.0788413448428165,0.6276557224942985,1.4594664594664595,-0.13131313131313133,-0.37293233082707167,-0.47033285094066785,-0.7996351576175286,-0.7910352762528149,0.7024429025729948,-0.6052035065284529,-0.6049268533472231,0.659340659340625,0.6842105263161674,0.7672413793102789,0.5390805501376644,0.5333333333341418,-0.7544483985765287,-0.875389408099697,-0.6371050230835155,0.0
61,189,2,29,-0.6412983002189315,-1.2167730417658804,-0.4497354497354497,-0.5151515151515151,-1.6112781954887236,-1.6302460202604812,-0.8083609974099399,-0.7985064606458449,-2.1811939867013583,-0.6423010173474905,-0.6421609572208149,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,-1.9715946044424235,-2.033333333334142,-1.774021352313166,-1.7897196261682409,1.7857932712243938,0.0
170,124,2,55,-0.23254207666723473,-0.6515914543681376,-0.36892736892736894,-0.9393939393939394,-0.1759398496240546,-0.26338639652676477,-0.7996370031452866,-0.7910889856355302,0.24291702804278018,-0.6050622974130588,-0.6047895625453923,-0.18681318681312503,0.157894736843113,0.10344827586206559,0.5081303384708366,-0.13333333333353545,-0.2882562277579933,-0.4299065420560685,-0.7473529980925004,0.0
202,47,1,150,0.7931329048810911,0.24661515261421255,0.3516483516483517,-0.7373737373737373,-1.6112781954887236,-1.6302460202604812,-0.8083606283043884,-0.7984722819477533,-2.1811939867013583,-0.6424056898386216,-0.6421861097341275,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,-0.05810493608254814,-2.033333333334142,-1.774021352313166,-1.7897196261682409,1.7857932712243938,0.0
8,30,1,120,0.11670776849019658,0.04605310027780269,0.05194805194805195,-0.13131313131313133,-0.33684210526316044,-0.34732272069464376,-0.7555606328074761,-0.7461537629874694,0.0616507661173671,-0.5506563014567744,-0.550390964378801,0.659340659340625,0.6842105263161674,0.7672413793102789,0.08786809388763822,0.5333333333341418,-0.6690391459074847,-0.6105919003115309,-0.6968180687252928,0.0
178,26,1,144,1.2906872699112832,0.2099000235836806,0.2863802863802864,-1.2323232323232323,-1.6112781954887236,-1.6302460202604812,-0.8028880848437091,-0.7975564323437903,-0.38457646718705857,-0.6460178782589804,-0.6457766310094856,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,0.5441478467467923,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.3874160285295669,0.0
251,227,2,39,-0.6138608910265773,-0.956272380293791,-0.4245754245754246,-0.010101010101010102,-1.6112781954887236,-1.6302460202604812,-0.8026841540264547,-0.7971895344826444,-0.6180254408788738,-0.6404534491313911,-0.6401833408616202,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,1.0652892493987625,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.2279600807231904,0.0
237,96,1,113,0.2824909165666322,-0.007908485188375544,-0.008399008399008399,-0.6060606060606061,-1.6112781954887236,-1.6302460202604812,-0.8008212783075697,-0.793517765773382,-0.9286643538595037,-0.626655442352366,-0.6264741730849243,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,-0.43237873769236035,-2.033333333334142,-1.774021352313166,-1.7897196261682409,0.15951123766345013,0.0
30,73,1,145,0.16264989530040871,0.21612352435806392,0.29707329707329705,0.2727272727272727,-0.21954887218045735,-0.14037626628074068,-0.7642873953637663,-0.7536479656873771,0.6012575888985215,-0.5875533545805324,-0.5875600909263355,-0.2637362637361251,-0.1578947368407196,0.04310344827591783,-0.36659920664372225,-0.5333333333341418,-0.39145907473311176,-0.1651090342679024,-0.7329776352528135,0.0
239,192,2,71,-0.5081167938378828,-0.42402226923711384,-0.2943352943352943,1.0,-1.6112781954887236,-1.6302460202604812,-0.8009148465648982,-0.7937179552907753,0.14780283318877632,-0.6207118223135089,-0.6204658664674029,-2.0494505494505,-2.1315789473688618,-2.1120689655172296,0.3546412463667617,-2.033333333334142,-1.774021352313166,-1.7897196261682409,-0.4775384955629898,0.0
26,4,0,239,0.897950492445992,0.6661941257170145,1.6326266326266325,0.24242424242424243,-0.36090225563909556,-0.5397973950795999,-0.7996353421703044,-0.7910513193151845,0.48561723041340915,-0.6052509053923614,-0.6049184691761189,0.406593406593375,0.6315789473676653,0.5689655172413117,0.9680831748839701,0.4666666666658582,-0.7259786476868338,-1.0249221183800747,-0.6120034279711384,0.0
15,39,1,168,0.8612239763029332,0.34859332591986675,0.5634365634365635,-0.5858585858585859,-0.16691729323308532,-0.23444283646888742,-0.7996370031452866,-0.7911029361245472,0.18856605955478736,-0.6050425478864303,-0.6047832744170643,-0.406593406593375,0.157894736843113,-0.06896551724140973,0.404955305858342,-0.13333333333353545,-0.2669039145907525,-0.36760124610593464,-0.6868658944516629,0.0
113,73,1,111,0.16411302292795066,-0.023935731873839967,-0.024975024975024976,-0.42424242424242425,-0.22406015037594199,-0.10419681620838162,-0.7996381104619413,-0.7910966584044896,0.3348511130384529,-0.6049536750166019,-0.604823099229809,-0.30769230769225003,-0.1578947368407196,0.008620689655163966,-0.5790704111601317,-0.5333333333341418,-0.4021352313167322,-0.08722741433020859,-0.6854283581676937,0.0
